ΠΕΡΙΦΕΡΕΙΑ	ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΕΝΟΤΗΤΕΣ	ΚΕΝΤΡΟΕΙΔΕΣ	longitude	latitude																				
Κρήτη	Λασιθίου	ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ	25.7175216	35.1905899	Ηρακλείου																			
Αν. Μακεδονία & Θράκη	Έβρου	ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ	25.8753275	40.845692	Ροδόπης																			
Στ. Ελλάδας	Φωκίδας	ΑΜΦΙΣΣΑ	22.3783845	38.5272729	Φθιώτιδας	Βοιωτίας	Αιτωλ/νανίας																	
Αττική	Ανατολικής Αττικής	ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ	23.8703229343	38.1930742554	Βορείου Τομέα Αθηνών	Κεντρικού Τομέα Αθηνών	Κύθνου	Νοτίου Τομέα Αθηνών																
Ν. Αιγαίο	Άνδρου	ΑΝΔΡΟΣ	24.9608767512	37.8157005748	Πειραιώς																			
Ιονίων Νήσων	Κεφαλληνίας	ΑΡΓΟΣΤΟΛΙ	20.4878219	38.1735424	Ηλείας																			
Ήπειρος	Άρτας	ΑΡΤΑ	20.9858503	39.161555	Πρέβεζας	Ιωαννίνων	Καρδίτσας	Τρικάλων	Αιτωλ/νανίας															
Κεντρ. Μακεδονία	Ημαθίας	ΒΕΡΟΙΑ	22.2036834	40.5215342	Πέλλας	Πιερίας	Θεσσαλονίκης	Κοζάνης																
Θεσσαλία	Μαγνησίας	ΒΟΛΟΣ	22.9401864	39.3624833	Λάρισας	Φθιώτιδας																		
Αττική	Βορείου Τομέα Αθηνών	ΒΤ ΑΘΗΝΩΝ	23.8239753874	38.0570504994	Δυτικού Τομέα Αθηνών	Κεντρικού Τομέα Αθηνών	Ανατολικής Αττικής																	
Δυτ. Μακεδονία	Γρεβενών	ΓΡΕΒΕΝΑ	21.4284718	40.0856892	Κοζάνης	Ιωαννίνων	Καστοριάς	Λάρισας	Τρικάλων															
Αν. Μακεδονία & Θράκη	Δράμας	ΔΡΑΜΑ	24.1468286	41.1499443	Καβάλας	Ξάνθης	Σερρών																	
Αττική	Δυτικού Τομέα Αθηνών	ΔΤ ΑΘΗΝΩΝ	23.6759285271	38.0144034671	Κεντρικού Τομέα Αθηνών	Βορείου Τομέα Αθηνών	Δυτικής Αττικής	Νήσων																
Αττική	Δυτικής Αττικής	ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ	23.3978432458	38.0523132788	Κορινθίας	Βορείου Τομέα Αθηνών	Δυτικού Τομέα Αθηνών	Νήσων	Βοιωτίας															
Κεντρ. Μακεδονία	Πέλλας	ΕΔΕΣΣΑ	22.050117	40.8009492	Ημαθίας	Κοζάνης	Λάρισας																	
Ιονίων Νήσων	Ζακύνθου	ΖΑΚΥΝΘΟΣ	20.8950319	37.7825062	Ηλείας																			
Ήπειρος	Θεσπρωτίας	ΗΓΟΥΜΕΝΙΤΣΑ	20.2650921	39.5045294	Ιωαννίνων	Πρέβεζας	Κέρκυρας																	
Κρήτη	Ηρακλείου	ΗΡΑΚΛΕΙΟ	25.1343475	35.3400127	Πειραιώς	Ρεθύμνης	Λασιθίου																	
Ήπειρος	Θάσου	ΘΑΣΟΣ	24.7096571	40.7785756	Καβάλας																			
Κεντρ. Μακεδονία	Θεσσαλονίκης	ΘΕΣΣΑΛΟΝΙΚΗ	22.9352716	40.6403167	Πέλλας	Ημαθίας	Κιλκίς	Χαλκιδικής	Σερρών															
Ιονίων Νήσων	Ιθάκης	ΙΘΑΚΗ	20.6836715996	38.4349661208	Ηλείας																			
Β. Αιγαίο	Ικαρίας	ΙΚΑΡΙΑ	26.2844458311	37.635972329	Πειραιώς																			
Ήπειρος	Ιωαννίνων	ΙΩΑΝΝΙΝΑ	20.8522784	39.6639818	Γρεβενών	Καστοριάς	Θεσπρωτίας	Πρέβεζας	Τρικάλων	Άρτας														
Αν. Μακεδονία & Θράκη	Καβάλας	ΚΑΒΑΛΑ	24.4122766	40.9369224	Δράμας	Θάσου	Ξάνθης	Σερρών																
Πελοποννήσου	Μεσσηνίας	ΚΑΛΑΜΑΤΑ	22.1109392	37.0377582	Ηλείας	Αρκαδίας	Λακωνίας																	
Ν. Αιγαίο	Καλύμνου	ΚΑΛΥΜΝΟΣ	26.9820732	36.9515787	Πειραιώς																			
Θεσσαλία	Καρδίτσας	ΚΑΡΔΙΤΣΑ	21.9211192	39.3634604	Άρτας	Λάρισας	Τρικάλων	Φθιώτιδας	Ευρυτανίας															
Ν. Αιγαίο	Καρπάθου	ΚΑΡΠΑΘΟΣ	27.2127142	35.5065848	Πειραιώς																			
Στ. Ελλάδας	Ευρυτανίας	ΚΑΡΠΕΝΗΣΙ	21.7943495	38.9152433	Φθιώτιδας	Καρδίτσας	Αιτωλ/νανίας																	
Δυτ. Μακεδονία	Καστοριάς	ΚΑΣΤΟΡΙΑ	21.2688435	40.5171556	Κοζάνης	Γρεβενών	Φλώρινας	Ιωαννίνων																
Κεντρ. Μακεδονία	Πιερίας	ΚΑΤΕΡΙΝΗ	22.5087618	40.2713616	Ημαθίας	Κοζάνης	Λάρισας																	
Ν. Αιγαίο	Κύθνου	ΚΕΑ-ΚΥΘΝΟΣ	24.3304807903	37.5711964093	Ανατολικής Αττικής																			
Ιονίων Νήσων	Κέρκυρας	ΚΕΡΚΥΡΑ	19.9210427	39.624247	Θεσπρωτίας																			
Κεντρ. Μακεδονία	Κιλκίς	ΚΙΛΚΙΣ	22.8741455	40.9935874	Θεσσαλονίκης	Πέλλας	Σερρών																	
Δυτ. Μακεδονία	Κοζάνης	ΚΟΖΑΝΗ	21.7883119	40.3007259	Ημαθίας	Πέλλας	Πιερίας	Γρεβενών	Καστοριάς	Φλώρινας	Λάρισας													
Αν. Μακεδονία & Θράκη	Ροδόπης	ΚΟΜΟΤΗΝΗ	25.4041307	41.117833	Δράμας	Καβάλας																		
Πελοποννήσου	Κορινθίας	ΚΟΡΙΝΘΟΣ	22.9280447	37.9386936	Δυτικής Αττικής	Αργολίδας	Αρκαδίας	Αχαΐας																
Αττική	Κεντρικού Τομέα Αθηνών	ΚΤ ΑΘΗΝΩΝ	23.759801861	37.9713800414	Βορείου Τομέα Αθηνών	Δυτικού Τομέα Αθηνών	Ανατολικής Αττικής	Νήσων	Νοτίου Τομέα Αθηνών															
Ν. Αιγαίο	Κω	ΚΩ	27.2866636	36.8940286	Πειραιώς																			
Στ. Ελλάδας	Φθιώτιδας	ΛΑΜΙΑ	22.4341691	38.9004584	Σποράδων	Ευρυτανίας	Λάρισας	Καρδίτσας	Μαγνησίας	Βοιωτίας	Φωκίδας	Αιτωλ/νανίας												
Θεσσαλία	Λάρισας	ΛΑΡΙΣΑ	22.4160706	39.6383092	Πιερίας	Κοζάνης	Γρεβενών	Καρδίτσας	Μαγνησίας	Τρικάλων	Φθιώτιδας													
Ιονίων Νήσων	Λευκάδας	ΛΕΥΚΑΔΑ	20.7090992	38.8350164	Ηλείας	Αιτωλ/νανίας	Πρέβεζας																	
Β. Αιγαίο	Λήμνου	ΛΗΜΝΟΣ	25.147504854	39.9198073928	Πειραιώς																			
Στ. Ελλάδας	Βοιωτίας	ΛΙΒΑΔΕΙΑ	22.8790519	38.438148	Φθιώτιδας	Εύβοιας	Δυτικής Αττικής	Βορείου Τομέα Αθηνών	Φωκίδας															
Δυτ. Ελλάδα	Αιτωλ/νανίας	ΜΕΣΟΛΟΓΓΙ	21.4283544	38.3686353	Φωκίδας	Ευρυτανίας	Άρτας	Λευκάδας																
Ν. Αιγαίο	Μήλου	ΜΗΛΟΣ	24.4098460127	36.6883420943	Πειραιώς																			
Ν. Αιγαίο	Μυκόνου	ΜΥΚΟΝΟΣ	25.3286444	37.4450774	Πειραιώς																			
Β. Αιγαίο	Λέσβου	ΜΥΤΙΛΗΝΗ	26.5538342	39.1061204	Πειραιώς																			
Ν. Αιγαίο	Νάξου	ΝΑΞΟΣ	25.3762072	37.101987	Πειραιώς																			
Πελοποννήσου	Αργολίδας	ΝΑΥΠΛΙΟ	22.808078	37.5696972	Κορινθίας	Αρκαδίας																		
Αττική	Νήσων	ΝΗΣΩΝ	23.4817066764	37.7318868919	Πειραιώς																			
Αττική	Νοτίου Τομέα Αθηνών	ΝΤ ΑΘΗΝΩΝ	23.7366280875	37.8996770917	Κεντρικού Τομέα Αθηνών	Ανατολικής Αττικής																		
Αν. Μακεδονία & Θράκη	Ξάνθης	ΞΑΝΘΗ	24.8862688	41.1380289	Ροδόπης	Καβάλας																		
Ν. Αιγαίο	Πάρου	ΠΑΡΟΣ	25.1763631343	37.0756021844	Πειραιώς																			
Δυτ. Ελλάδα	Αχαΐας	ΠΑΤΡΑ	21.7350847	38.246242	Αιτωλ/νανίας	Ηλείας	Αρκαδίας	Κορινθίας																
Αττική	Πειραιώς	ΠΕΙΡΑΙΑΣ	23.6470593	37.9431594	Σύρου	Τήνου	Ρόδου	Σάμου	Θήρας	Πάρου	Νήσων	Μήλου	Μυκόνου	Λέσβου	Νάξου	Λήμνου	Κω	Καρπάθου	Καλύμνου	Ικαρίας	Ηρακλείου	Άνδρου	Χανίων	Χίου
Κεντρ. Μακεδονία	Χαλκιδικής	ΠΟΛΥΓΥΡΟΣ	23.4425494	40.37804	Θεσσαλονίκης																			
Ήπειρος	Πρέβεζας	ΠΡΕΒΕΖΑ	20.7496811	38.9589226	Λευκάδας	Θεσπρωτίας	Άρτας	Ιωαννίνων																
Δυτ. Ελλάδα	Ηλείας	ΠΥΡΓΟΣ	21.4422805	37.6711849	Κεφαλληνίας	Ζακύνθου	Ιθάκης	Μεσσηνίας	Λευκάδας	Αχαΐας	Αρκαδίας													
Κρήτη	Ρεθύμνης	ΡΕΘΥΜΝΟ	24.4736079	35.3676472	Χανίων	Ηρακλείου																		
Ν. Αιγαίο	Ρόδου	ΡΟΔΟΣ	28.2233083	36.4379874	Πειραιώς																			
Β. Αιγαίο	Σάμου	ΣΑΜΟΣ	26.9746631	37.7579286	Πειραιώς																			
Ν. Αιγαίο	Θήρας	ΣΑΝΤΟΡΙΝΗ	25.4306408295	36.4297486159	Πειραιώς																			
Κεντρ. Μακεδονία	Σερρών	ΣΕΡΡΕΣ	23.5498031	41.0910711	Δράμας	Καβάλας	Κιλκίς	Θεσσαλονίκης																
Πελοποννήσου	Λακωνίας	ΣΠΑΡΤΗ	22.4310282	37.0750742	Μεσσηνίας	Αρκαδίας																		
Θεσσαλία	Σποράδων	ΣΠΟΡΑΔΕΣ	23.7183366518	39.1083532664	Φθιώτιδας																			
Ν. Αιγαίο	Σύρου	ΣΥΡΟΣ	24.9150540804	37.4275881183	Πειραιώς																			
Ν. Αιγαίο	Τήνου	ΤΗΝΟΣ	25.1617072	37.5378994	Πειραιώς																			
Θεσσαλία	Τρικάλων	ΤΡΙΚΑΛΑ	21.7678844	39.5560869	Γρεβενών	Ιωαννίνων	Άρτας	Λάρισας	Καρδίτσας															
Πελοποννήσου	Αρκαδίας	ΤΡΙΠΟΛΗ	22.3724241	37.5102911	Αργολίδας	Αχαΐας	Ηλείας	Κορινθίας	Λακωνίας															
Δυτ. Μακεδονία	Φλώρινας	ΦΛΩΡΙΝΑ	21.407594	40.779442	Πέλλας	Κοζάνης	Καστοριάς																	
Στ. Ελλάδας	Εύβοιας	ΧΑΛΚΙΔΑ	23.5947651	38.4624412	Βοιωτίας	Βορείου Τομέα Αθηνών																		
Κρήτη	Χανίων	ΧΑΝΙΑ	24.0191544	35.5120831	Ρεθύμνης																			
Β. Αιγαίο	Χίου	ΧΙΟΣ	26.1341491	38.3715826	Πειραιώς																			
